id,counts
0,2
1,2
2,3
3,0
4,2
5,1
6,1
7,2
8,2
9,1
10,2
11,4
12,4
13,3
14,3
15,3
16,4
17,0
18,4
19,8
20,0
21,0
22,7
23,0
24,3
25,1
26,0
27,3
28,1
29,4
30,2
31,2
32,1
33,3
34,0
35,0
36,0
37,4
38,2
39,3
40,1
41,4
42,0
43,1
44,3
45,2
46,0
47,0
48,0
49,2
50,3
51,2
52,4
53,4
54,2
55,3
56,5
57,6
58,5
59,3
60,6
61,0
62,2
63,6
64,2
65,0
66,1
67,4
68,1
69,5
70,3
71,1
72,2
73,4
74,2
75,5
76,1
77,2
78,1
79,4
80,3
81,5
82,2
83,3
84,5
85,4
86,0
87,1
88,5
89,2
90,2
91,2
92,5
93,2
94,2
95,6
96,2
97,3
98,1
99,4
100,1
101,1
102,0
103,1
104,0
105,2
106,1
107,2
108,2
109,4
110,2
111,1
112,2
113,5
114,2
115,4
116,1
117,0
118,4
119,2
120,2
121,3
122,2
123,1
124,1
125,1
126,1
127,7
128,3
129,0
130,1
131,1
132,3
133,2
134,3
135,2
136,0
137,7
138,2
139,2
140,1
141,1
142,3
143,4
144,0
145,8
146,3
147,4
148,3
149,1
150,1
151,1
152,0
153,6
154,4
155,2
156,5
157,2
158,3
159,2
160,2
161,2
162,1
163,7
164,0
165,4
166,2
167,0
168,2
169,2
170,6
171,0
172,0
173,3
174,0
175,6
176,4
177,0
178,7
179,0
180,3
181,1
182,3
183,2
184,2
185,1
186,3
187,4
188,3
189,0
190,2
191,4
192,2
193,2
194,3
195,4
196,3
197,2
198,2
199,1
200,3
201,1
202,3
203,0
204,1
205,5
206,0
207,1
208,2
209,1
210,3
211,2
212,1
213,4
214,1
215,0
216,5
217,1
218,7
219,3
220,0
221,3
222,5
223,1
224,4
225,2
226,1
227,3
228,0
229,4
230,2
231,5
232,3
233,4
234,4
235,6
236,1
237,0
238,5
239,2
240,2
241,2
242,0
243,0
244,3
245,2
246,2
247,2
248,1
249,1
250,5
251,3
252,0
253,5
254,3
255,1
256,3
257,1
258,3
259,0
260,2
261,3
262,0
263,6
264,3
265,3
266,1
267,2
268,3
269,1
270,5
271,2
272,2
273,1
274,4
275,3
276,7
277,2
278,2
279,2
280,4
281,3
282,1
283,2
284,2
285,3
286,3
287,2
288,2
289,10
290,3
291,1
292,0
293,6
294,1
295,2
296,1
297,1
298,5
299,4
300,1
301,0
302,6
303,4
304,2
305,1
306,3
307,6
308,2
309,0
310,2
311,0
312,0
313,5
314,4
315,1
316,2
317,2
318,4
319,2
320,1
321,2
322,0
323,5
324,4
325,4
326,3
327,2
328,2
329,1
330,3
331,3
332,4
333,2
334,0
335,0
336,0
337,1
338,5
339,1
340,6
341,2
342,1
343,1
344,5
345,4
346,6
347,4
348,1
349,2
350,4
351,3
352,1
353,7
354,5
355,3
356,3
357,6
358,5
359,3
360,1
361,3
362,5
363,1
364,1
365,3
366,1
367,3
368,5
369,0
370,2
371,1
372,3
373,2
374,5
375,4
376,4
377,4
378,1
379,3
380,6
381,2
382,5
383,5
384,1
385,1
386,1
387,4
388,0
389,0
390,2
391,3
392,3
393,2
394,5
395,7
396,4
397,1
398,2
399,4
400,0
401,0
402,1
403,1
404,1
405,2
406,3
407,4
408,4
409,5
410,3
411,6
412,3
413,1
414,7
415,0
416,2
417,2
418,2
419,1
420,8
421,0
422,1
423,3
424,1
425,3
426,2
427,2
428,2
429,3
430,2
431,0
432,1
433,1
434,1
435,1
436,5
437,3
438,0
439,2
440,5
441,4
442,0
443,5
444,0
445,2
446,3
447,5
448,2
449,2
450,4
451,6
452,0
453,0
454,1
455,2
456,1
457,2
458,2
459,2
460,3
461,3
462,4
463,3
464,4
465,2
466,6
467,0
468,1
469,3
470,2
471,3
472,0
473,2
474,7
475,1
476,0
477,5
478,3
479,4
480,6
481,3
482,0
483,4
484,3
485,2
486,3
487,2
488,0
489,3
490,2
491,2
492,5
493,0
494,3
495,3
496,4
497,2
498,0
499,0
500,2
501,0
502,1
503,3
504,1
505,3
506,4
507,4
508,1
509,3
510,2
511,1
512,2
513,0
514,5
515,0
516,3
517,2
518,1
519,3
520,3
521,0
522,1
523,3
524,3
525,1
526,0
527,2
528,2
529,2
530,2
531,3
532,2
533,2
534,5
535,2
536,2
537,3
538,2
539,3
540,2
541,1
542,0
543,4
544,2
545,3
546,4
