id,counts
0,2
1,0
2,0
3,0
4,1
5,1
6,0
7,3
8,0
9,1
10,0
11,0
12,1
13,1
14,0
15,0
16,0
17,0
18,1
19,0
20,1
21,0
22,1
23,0
24,0
25,1
26,0
27,0
28,0
29,2
30,0
31,0
32,0
33,0
34,1
35,0
36,3
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,2
56,0
57,0
58,1
59,0
60,0
61,1
62,1
63,0
64,0
65,1
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,2
76,0
77,0
78,1
79,0
80,0
81,0
82,0
83,0
84,1
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,1
94,0
95,0
96,0
97,1
98,0
99,0
