id,feature1,feature2,time
0,89,88,0.649554592163117
1,35,98,0.25591957511391394
2,16,24,0.8157770970835868
3,31,33,0.1882501543770354
4,6,13,0.2525647722195421
5,84,39,0.9809014892777755
6,88,51,0.07621618418341236
7,67,93,0.8059068998021071
8,34,0,0.7023600722732327
9,41,69,0.21136558371443215
10,92,7,0.8167459844702476
11,23,65,0.14783837823739232
12,95,45,0.48358336073254904
13,20,55,0.8355343116194965
14,16,19,0.8829040672723418
15,87,28,0.43642270704700503
16,36,39,0.9684115706825178
17,63,85,0.05182679636380383
18,74,88,0.40272976568032437
19,20,98,0.9065020882070017
20,32,10,0.9424058664282511
21,80,67,0.6259408483406919
22,50,21,0.5938367105626012
23,3,87,0.04747170077381935
24,11,38,0.9747224812331144
25,99,36,0.3599079239133429
26,85,73,0.32221721232159006
27,32,49,0.20645527809400543
28,7,25,0.18584878044049402
29,55,85,0.2297342806477597
30,16,23,0.27058981193242193
31,97,15,0.65526827296831
32,44,46,0.11501388342075403
33,21,55,0.8671118338354554
34,69,34,0.030010419517965792
35,32,51,0.033337854245156895
36,24,84,0.002031361214198668
37,97,66,0.8398073704466053
38,59,95,0.8250341828645774
39,7,89,0.5649209027284957
40,76,3,0.16564077672512545
41,22,58,0.42348699543504187
42,69,0,0.15689730084380593
43,10,41,0.6167212491302602
44,80,22,0.24740955555714594
45,7,45,0.9616134780020106
46,18,72,0.7767614269820196
47,69,74,0.08949206103083318
48,70,66,0.1487189771881684
49,94,18,0.41506318299977063
50,94,73,0.525700384506672
51,73,20,0.33442167003146916
52,67,93,0.9324226766003452
53,66,52,0.9567373004574831
54,17,30,0.5544449547325145
55,50,9,0.1770084116191416
56,27,58,0.8773266919823042
57,38,0,0.6641344177613766
58,56,77,0.5680032093404167
59,95,68,0.7996918907056552
60,1,48,0.5876785776604565
61,66,36,0.011828480589789026
62,4,14,0.8157223365684699
63,7,8,0.4811768765342692
64,29,30,0.26282496027093827
65,61,69,0.38156774761270074
66,77,78,0.9433142160767216
67,2,58,0.5829021550672522
68,87,64,0.10765891765311253
69,19,67,0.8004635905556213
70,9,24,0.4883345111432862
71,90,82,0.3710299346921758
72,78,55,0.07910829478839632
73,71,61,0.9549774273233712
74,11,5,0.7186358896934693
75,25,67,0.22306742002579394
76,22,27,0.2967861495433821
77,0,51,0.3939975278214799
78,11,72,0.3132093002546603
79,57,64,0.34224550883706917
80,3,30,0.2963829065933822
81,1,26,0.41978826360264243
82,26,69,0.05057990503430099
83,81,75,0.27905016808798055
84,69,40,0.7541476988091915
85,80,83,0.2739445447995834
86,77,63,0.21926162516369674
87,5,27,0.0793991526204193
88,63,12,0.4038629154898985
89,37,18,0.42333074765563383
90,94,51,0.6566106351287687
91,36,46,0.8831875737401922
92,93,58,0.9122783836623471
93,35,22,0.7197039039961918
94,22,24,0.48923273533533895
95,25,24,0.8225659482888825
96,83,46,0.24108081631980816
97,90,1,0.4618325316104295
98,73,9,0.19697428214006907
99,12,59,0.42840919290367707
100,87,7,0.8747906744987144
101,47,18,0.12763491779998715
102,76,76,0.9137182315444053
103,8,87,0.04647400468519247
104,4,73,0.06985673279476923
105,79,33,0.29928459215853753
106,33,79,0.3358195216941292
107,78,44,0.7838403456211787
108,1,17,0.6591044671383617
109,43,5,0.8400516953755596
110,97,75,0.36100192354257266
111,42,20,0.7633480306529344
112,5,32,0.5759277290771819
113,14,2,0.6969119869466217
114,95,89,0.8763047516692647
115,14,42,0.6778112567302843
116,8,77,0.9112250019391921
117,56,73,0.47623561527263036
118,80,49,0.3905743002280504
119,25,9,0.54652294315146
120,59,3,0.4405732197205676
121,75,18,0.9511784926804251
122,56,60,0.38969971533596914
123,47,30,0.10642822257610418
124,39,54,0.04074916558192765
125,72,40,0.04280219342753855
126,60,49,0.5508806389116031
127,92,77,0.6259117852714083
128,6,87,0.7626468481966018
129,54,84,0.11015414027286752
130,63,46,0.14439093541313597
131,45,72,0.09657881846303928
132,57,22,0.4933561481050881
133,95,50,0.4366582289384414
134,69,2,0.4850440436100433
135,90,2,0.1356414524439582
136,12,61,0.002389912130152827
137,98,19,0.849181611139358
138,94,35,0.7332548234619968
139,40,38,0.793868773242363
140,20,43,0.13075019105974806
141,4,76,0.22868233631066948
142,76,25,0.4605707397271973
143,81,8,0.6477180033527185
144,99,90,0.022508265155390283
145,54,89,0.61104456074425
146,19,21,0.47438880735307387
147,30,20,0.7329790518367622
148,35,89,0.23824588872376185
149,53,89,0.13367558642627353
150,73,92,0.5416545839966324
151,0,76,0.34353148711213877
152,4,21,0.0040133331817240325
153,53,72,0.6840688981949398
154,2,63,0.7130133188615592
155,3,91,0.5113533977835183
156,61,87,0.7681684124612573
157,5,10,0.2659310370891035
158,33,29,0.38051946982849105
159,69,3,0.784240145835247
160,28,58,0.9178334186108895
161,37,91,0.6817663059167686
162,89,3,0.7329443903255674
163,94,48,0.9334121912880652
164,12,32,0.6424671717009511
165,96,73,0.8594001975437063
166,42,26,0.9521872941626497
167,25,21,0.0788449570680837
168,92,23,0.3780391663241248
169,66,15,0.7827375771839388
170,94,12,0.5779774055117204
171,10,69,0.45219929002137793
172,82,5,0.9032318827721331
173,41,75,0.899795862640202
174,37,48,0.8588364616115836
175,13,85,0.2707846693816658
176,10,43,0.2883638897385371
177,7,27,0.19662181505460274
178,80,25,0.464076533932711
179,54,55,0.5561351728632383
180,38,66,0.785762677154264
181,86,10,0.05278055440465901
182,99,57,0.6515712275989889
183,22,56,0.9021350965524342
184,73,75,0.8022245471703983
185,14,96,0.14494236322455645
186,32,9,0.5326878966041206
187,20,41,0.8140449217930802
188,19,0,0.6702288831169366
189,98,81,0.1790012380346797
190,19,71,0.7532198273986858
191,98,29,0.9753357656247574
192,94,76,0.2430911664638834
193,51,64,0.5387645465669848
194,12,30,0.12713131131269995
195,23,1,0.36260073076634514
196,29,11,0.311162579143199
197,32,59,0.7592618483811187
198,30,88,0.06585896107898093
199,18,32,0.3079206258395919
200,75,65,0.17897134379427804
201,26,29,0.7522762425945949
202,71,91,0.6815621030000583
203,64,81,0.06179961888891805
204,69,69,0.16071013592579175
205,56,54,0.5141568741548649
206,68,17,0.15882192371683668
207,62,88,0.6186329090953662
208,94,41,0.3521766113175916
209,59,10,0.2001941301995861
210,68,60,0.353225865430714
211,73,89,0.455721410074038
212,87,14,0.7349647884502608
213,67,54,0.2946255748745177
214,83,81,0.19420538039454638
215,16,51,0.018434167007632563
216,75,46,0.4965438703299415
217,99,29,0.19899749464853334
218,79,39,0.9156782486935058
219,71,40,0.7830375485242868
220,11,75,0.06990795770665748
221,55,89,0.4690381959127493
222,59,21,0.4259480373096378
223,3,67,0.814831828834964
224,95,67,0.6448028625948397
225,18,74,0.7230022928882606
226,68,86,0.06674450344036176
227,63,49,0.39093037475474457
228,51,44,0.005332277489730641
229,25,12,0.6953234235789021
230,35,1,0.2374004340698519
231,39,22,0.6229350265284613
232,80,43,0.18852216316782244
233,71,59,0.7319598691947472
234,7,43,0.6730662128940784
235,0,64,0.2792449897789049
236,35,78,0.08995170735437419
237,22,28,0.13781973612954024
238,10,10,0.7712036064151157
239,15,66,0.607478943151127
240,27,30,0.4719993683902718
241,78,72,0.612876865920277
242,76,22,0.08950012609101732
243,70,47,0.03007673213324169
244,78,67,0.22324874303107856
245,92,68,0.48685761368834424
246,64,3,0.5081785860097263
247,78,70,0.5288823263148154
248,72,32,0.18484531769505474
249,2,33,0.9780704340517282
250,81,2,0.9205077559345908
251,79,68,0.26323194630646374
252,47,64,0.09816029479259536
253,7,85,0.6752651995974631
254,49,88,0.41061685689048455
255,58,48,0.8164493466554331
256,57,42,0.22370082126635082
257,14,36,0.2976601963378832
258,61,40,0.48567872829338965
259,56,2,0.7585639342188579
260,87,42,0.06755327169993375
261,19,81,0.29865275993463747
262,0,58,0.8794526155333046
263,66,93,0.6391511346933885
264,59,68,0.3068385750054389
265,94,6,0.3768116112474944
266,26,48,0.8129543745331641
267,68,44,0.9301784030163658
268,40,77,0.9570645079335193
269,47,80,0.9419330449329575
270,27,82,0.9125440199025016
271,90,7,0.6700585805533412
272,62,4,0.6072946487183595
273,69,73,0.42089161723315505
274,94,46,0.9981725711121782
275,0,13,0.3823139736632081
276,85,52,0.6963428829781595
277,36,8,0.11154511053428684
278,35,3,0.9926287490529592
279,33,53,0.12383748190647559
280,74,26,0.4871058506337994
281,4,18,0.22256642818141625
282,68,91,0.6661610406049505
283,23,56,0.5370841170078496
284,62,32,0.28434563559890325
285,38,12,0.8484282863863825
286,8,30,0.9846974950142034
287,80,90,0.09214409984440652
288,56,24,0.886858431106046
289,11,51,0.9525521132323997
290,19,79,0.4355648767137438
291,0,19,0.5955308761263512
292,63,49,0.24051634758466334
293,56,63,0.7496645420055347
294,27,46,0.894255854256857
295,85,18,0.7686877770963538
296,72,70,0.14009433584911113
297,28,30,0.7135716105284303
298,10,43,0.3334006239145133
299,0,65,0.8447064782382606
300,26,89,0.12565215631783133
301,86,26,0.5681968792638749
302,85,25,0.5465460610387439
