CMDLINE /usr/bin/python3 main.py
MEM 0.804688 1606092008.8267
MEM 16.593750 1606092008.9271
MEM 25.847656 1606092009.0276
MEM 43.246094 1606092009.1280
MEM 53.402344 1606092009.2284
MEM 58.136719 1606092009.3289
MEM 66.640625 1606092009.4293
MEM 72.054688 1606092009.5297
MEM 72.054688 1606092009.6301
MEM 72.054688 1606092009.7304
MEM 72.054688 1606092009.8308
MEM 72.054688 1606092009.9311
MEM 72.054688 1606092010.0315
MEM 72.054688 1606092010.1318
MEM 72.054688 1606092010.2321
MEM 72.054688 1606092010.3324
MEM 72.054688 1606092010.4328
MEM 72.054688 1606092010.5331
MEM 72.054688 1606092010.6334
MEM 72.054688 1606092010.7338
MEM 72.054688 1606092010.8341
MEM 72.054688 1606092010.9344
MEM 72.054688 1606092011.0348
MEM 72.226562 1606092011.1352
MEM 72.226562 1606092011.2355
MEM 72.226562 1606092011.3358
MEM 72.226562 1606092011.4362
MEM 72.226562 1606092011.5365
MEM 72.226562 1606092011.6368
MEM 72.226562 1606092011.7372
MEM 72.226562 1606092011.8375
MEM 72.226562 1606092011.9378
MEM 72.226562 1606092012.0381
MEM 72.226562 1606092012.1385
MEM 72.226562 1606092012.2388
MEM 72.226562 1606092012.3391
MEM 72.226562 1606092012.4395
MEM 72.226562 1606092012.5398
MEM 72.476562 1606092012.6402
MEM 72.476562 1606092012.7405
MEM 72.476562 1606092012.8408
MEM 72.476562 1606092012.9411
MEM 72.476562 1606092013.0415
MEM 72.476562 1606092013.1419
MEM 72.476562 1606092013.2422
MEM 72.476562 1606092013.3425
MEM 72.476562 1606092013.4429
MEM 72.476562 1606092013.5432
MEM 72.476562 1606092013.6436
MEM 72.476562 1606092013.7439
MEM 72.476562 1606092013.8442
MEM 72.476562 1606092013.9446
MEM 72.476562 1606092014.0450
MEM 72.476562 1606092014.1453
MEM 72.726562 1606092014.2456
MEM 72.726562 1606092014.3460
MEM 72.726562 1606092014.4463
MEM 72.726562 1606092014.5466
MEM 72.726562 1606092014.6470
MEM 72.726562 1606092014.7473
MEM 72.726562 1606092014.8476
MEM 72.726562 1606092014.9480
MEM 72.726562 1606092015.0483
MEM 72.726562 1606092015.1486
MEM 72.726562 1606092015.2490
MEM 72.726562 1606092015.3494
MEM 72.726562 1606092015.4497
MEM 72.726562 1606092015.5500
MEM 72.726562 1606092015.6504
MEM 72.726562 1606092015.7507
MEM 72.726562 1606092015.8510
MEM 72.726562 1606092015.9514
MEM 72.976562 1606092016.0517
MEM 72.976562 1606092016.1520
MEM 72.976562 1606092016.2523
MEM 72.976562 1606092016.3527
MEM 72.976562 1606092016.4530
MEM 72.976562 1606092016.5533
MEM 72.976562 1606092016.6537
MEM 72.976562 1606092016.7540
MEM 72.976562 1606092016.8543
MEM 72.976562 1606092016.9547
MEM 72.976562 1606092017.0550
