CMDLINE /usr/bin/python3 main.py
MEM 0.808594 1606092255.7046
MEM 22.144531 1606092255.8051
MEM 27.562500 1606092255.9055
MEM 48.207031 1606092256.0059
MEM 57.101562 1606092256.1063
MEM 68.226562 1606092256.2069
MEM 78.726562 1606092256.3073
MEM 84.398438 1606092256.4079
MEM 92.390625 1606092256.5085
MEM 96.257812 1606092256.6090
MEM 100.382812 1606092256.7097
MEM 124.289062 1606092256.8101
MEM 131.511719 1606092256.9106
MEM 132.656250 1606092257.0109
MEM 139.933594 1606092257.1113
MEM 140.449219 1606092257.2118
MEM 141.031250 1606092257.3121
MEM 141.031250 1606092257.4124
MEM 141.031250 1606092257.5128
MEM 141.031250 1606092257.6131
MEM 141.031250 1606092257.7135
MEM 141.031250 1606092257.8138
MEM 141.031250 1606092257.9142
MEM 141.031250 1606092258.0145
MEM 141.031250 1606092258.1149
MEM 141.031250 1606092258.2152
MEM 141.031250 1606092258.3155
MEM 141.031250 1606092258.4159
MEM 141.031250 1606092258.5162
MEM 141.031250 1606092258.6166
MEM 141.031250 1606092258.7170
MEM 141.031250 1606092258.8173
MEM 141.031250 1606092258.9176
MEM 141.128906 1606092259.0180
MEM 141.128906 1606092259.1183
MEM 141.128906 1606092259.2187
MEM 141.128906 1606092259.3190
MEM 141.128906 1606092259.4193
MEM 141.128906 1606092259.5197
MEM 141.128906 1606092259.6200
MEM 141.128906 1606092259.7204
MEM 141.128906 1606092259.8207
MEM 141.128906 1606092259.9211
MEM 141.128906 1606092260.0214
MEM 141.128906 1606092260.1217
MEM 141.128906 1606092260.2221
MEM 141.128906 1606092260.3225
MEM 141.128906 1606092260.4228
MEM 141.378906 1606092260.5231
MEM 141.378906 1606092260.6235
MEM 141.378906 1606092260.7238
MEM 141.378906 1606092260.8243
MEM 141.378906 1606092260.9246
MEM 141.378906 1606092261.0250
MEM 141.378906 1606092261.1254
MEM 141.378906 1606092261.2257
MEM 141.378906 1606092261.3260
MEM 141.378906 1606092261.4264
MEM 141.378906 1606092261.5267
MEM 141.378906 1606092261.6270
MEM 141.378906 1606092261.7274
MEM 141.378906 1606092261.8277
MEM 141.378906 1606092261.9281
MEM 141.378906 1606092262.0284
MEM 141.628906 1606092262.1287
MEM 141.628906 1606092262.2291
MEM 141.628906 1606092262.3294
MEM 141.628906 1606092262.4297
MEM 141.628906 1606092262.5301
MEM 141.628906 1606092262.6304
MEM 141.628906 1606092262.7308
MEM 141.628906 1606092262.8311
MEM 141.628906 1606092262.9315
MEM 141.628906 1606092263.0318
MEM 141.628906 1606092263.1321
MEM 141.628906 1606092263.2325
MEM 141.628906 1606092263.3328
MEM 141.628906 1606092263.4331
MEM 141.628906 1606092263.5335
MEM 141.628906 1606092263.6338
MEM 141.628906 1606092263.7341
MEM 141.628906 1606092263.8345
MEM 141.878906 1606092263.9348
MEM 141.878906 1606092264.0352
MEM 141.878906 1606092264.1355
MEM 141.878906 1606092264.2358
MEM 141.878906 1606092264.3362
MEM 141.878906 1606092264.4365
MEM 141.878906 1606092264.5368
MEM 141.878906 1606092264.6372
MEM 141.878906 1606092264.7375
MEM 141.878906 1606092264.8379
MEM 141.878906 1606092264.9383
MEM 141.878906 1606092265.0386
MEM 141.878906 1606092265.1388
MEM 141.878906 1606092265.2392
MEM 141.878906 1606092265.3395
MEM 141.878906 1606092265.4399
MEM 141.878906 1606092265.5402
MEM 141.878906 1606092265.6405
MEM 141.878906 1606092265.7409
MEM 142.128906 1606092265.8412
MEM 142.128906 1606092265.9416
MEM 142.128906 1606092266.0420
MEM 142.128906 1606092266.1423
MEM 142.128906 1606092266.2426
MEM 142.128906 1606092266.3430
MEM 142.128906 1606092266.4433
